date,prediction_date,period,predicted_direction,actual_direction,direction_correct,predicted_price,actual_price,price_error,sentiment_score,technical_score,macro_score,composite_score,error_analysis,factor_attribution,weight_adjustment_suggestion,validated,validation_date
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术因子评分-0.93（看空）与舆情0.2、宏观0.72（看多）形成矛盾，但技术权重35%过高，压制了宏观和舆情信号。

归因：技术因子。短期技术面偏空（均线/RSI）未能反映宏观利好驱动的上涨。

建议：降低技术权重至25%，提升宏观至35%，增强对基本面/政策驱动的响应。",舆情因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术因子评分-0.93（看空）被宏观0.72（看多）和舆情0.2（略看多）部分抵消，但综合0.59未突破""up""阈值，实际宏观利好主导上涨。

归因：技术因子权重过高（0.35），且RSI/均线信号在趋势启动初期滞后；宏观因子权重偏低（0.25），未能充分体现美元走弱/库存下降的影响。

建议：技术权重降至0.25，宏观提升至0.35，舆情保持0.4。趋势行情中降低滞后技术指标权重，提高宏观",舆情因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"Request timed out before a response was generated. Please try again, or increase `agents.defaults.timeoutSeconds` in your config.",综合因素,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术面评分-0.93严重低估，实际价格逆势上涨1040点，技术因子误判了趋势强度。
归因：技术因子（权重0.35）评分失真，未能反映真实买盘力量。
建议：技术权重降至0.25，舆情/宏观权重上调至0.45/0.30，或引入动量修正系数。",舆情因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术面评分-0.93（看空）与价格实际上涨矛盾，技术因子误判了趋势。

归因：技术面权重35%过高，且RSI/均线信号滞后，未能捕捉反弹动能。

建议：技术权重降至25%，舆情升至45%，宏观保持30%。",舆情因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术因子评分-0.93（看空）与价格实际上涨矛盾，过度压制了宏观利好（0.72）和舆情中性（0.2）信号。

归因：技术因子权重35%过高，且均线/RSI指标在短期趋势转折时滞后。

建议：技术权重降至25%，宏观提升至35%，减少滞后指标依赖，增加动量因子。",舆情因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术评分-0.93（看空）被权重0.35放大，抵消了宏观0.72的看多信号，导致综合0.59偏向neutral，但实际价格上涨1.02%。

归因：技术因子。RSI/均线等短期指标滞后，未能捕捉突发利好驱动的上涨。

建议：技术权重0.35→0.30，宏观0.25→0.30，增强宏观对政策/库存的敏感度。",技术因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术因子评分-0.93（看空）与实际上涨矛盾，情绪因子0.2（中性偏多）被低估，宏观0.72（看多）权重不足，综合评分0.59接近中性阈值导致误判。

归因：技术因子权重过高（35%），情绪/宏观权重偏低，未能反映实际驱动力。

建议：技术权重降至25%，情绪升至35%，宏观维持40%，提高看多信号敏感度。",舆情因子,,True,2026-07-07
2026-07-07,2026-07-02,5d,stable,up,False,103433.51,102960.0,1040.0,0.2,-0.93,0.72,,"原因：技术因子评分-0.93（看空）主导了预测，但实际铜价上涨，说明技术面信号失效。
归因：技术因子权重35%过高，且评分与实际走势背离。
建议：技术权重降至25%，舆情升至50%，宏观保持25%。",舆情因子,,True,2026-07-07
2026-07-10,2026-07-02,5d,stable,up,False,103433.51,102970.0,1050.0,0.2,-0.93,0.72,,"原因：技术因子严重低估（-0.93），掩盖了舆情和宏观的正面信号，综合评分0.59接近中性阈值导致误判。
归因：技术权重过高（35%），且RSI/均线策略在趋势启动初期产生滞后信号。
建议：技术权重降至25%，舆情升至45%，宏观保持30%；或引入趋势强度修正技术评分。",舆情因子,,True,2026-07-10
